#Release 14.4 - par P.49d (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Fri Jul 18 10:43:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cpme48_map.ncd
#OUTPUT FILE:      cpme48_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P23,IR<11>,IOB,IO_L07N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P24,IR<12>,IOB,IO_L08P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P25,IR<13>,IOB,IO_L08N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P26,,IBUF,IP,UNUSED,,3,,,,,,,,,
P27,,,GND,,,,,,,,,,,,
P28,IR<14>,IOB,IO_L09P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P29,IR<15>,IOB,IO_L09N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P30,,DIFFM,IO_L10P_3/LHCLK6,UNUSED,,3,,,,,,,,,
P31,ABUSout<8>,IOB,IO_L10N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P32,,IBUF,IP,UNUSED,,3,,,,,,,,,
P33,ABUSout<9>,IOB,IO_L11P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P34,ABUSout<10>,IOB,IO_L11N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P35,ABUSout<11>,IOB,IO_L12P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P36,ABUSout<12>,IOB,IO_L12N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P37,,,GND,,,,,,,,,,,,
P38,,,VCCO_3,,,3,,,,,2.50,,,,
P39,ABUSout<13>,IOB,IO_L13P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P40,ABUSout<14>,IOB,IO_L13N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P41,ABUSout<15>,IOB,IO_L14P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P42,DBUSout<0>,IOB,IO_L14N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P43,,IBUF,IP,UNUSED,,3,,,,,,,,,
P44,,,VCCAUX,,,,,,,,2.5,,,,
P45,DBUSout<1>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P46,,,VCCO_3,,,3,,,,,2.50,,,,
P47,DBUSout<2>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P48,DBUSout<3>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P49,DBUSout<4>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P50,DBUSout<5>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P51,rst,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P52,,,GND,,,,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,IBUF,IP,UNUSED,,2,,,,,,,,,
P55,DBUSout<6>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P56,DBUSout<7>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P57,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
P58,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
P59,,,VCCO_2,,,2,,,,,2.50,,,,
P60,DBUSout<8>,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,DBUSout<9>,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P62,DBUSout<10>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P63,DBUSout<11>,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P64,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,
P65,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,
P66,,,VCCAUX,,,,,,,,2.5,,,,
P67,,,VCCINT,,,,,,,,1.2,,,,
P68,nBHE,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P69,,DIFFS,IO_L06N_2,UNUSED,,2,,,,,,,,,
P70,,,GND,,,,,,,,,,,,
P71,,DIFFMI,IP_L07P_2,UNUSED,,2,,,,,,,,,
P72,,DIFFSI,IP_L07N_2/VREF_2,UNUSED,,2,,,,,,,,,
P73,,,VCCO_2,,,2,,,,,2.50,,,,
P74,,DIFFM,IO_L08P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
P75,clk,IBUF,IO_L08N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P76,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P77,bst<2>,IOB,IO_L09P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P78,IOin<7>,IBUF,IO_L09N_2/D3/GCLK15,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P79,,,GND,,,,,,,,,,,,
P80,IOin<6>,IBUF,IP_L10P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P81,,DIFFSI,IP_L10N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P82,bst<1>,IOB,IO_L11P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P83,bst<0>,IOB,IO_L11N_2/D1/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P84,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P85,,,GND,,,,,,,,,,,,
P86,,DIFFM,IO_L12P_2/M0,UNUSED,,2,,,,,,,,,
P87,IOin<5>,IBUF,IO_L12N_2/DIN/D0,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P88,,,VCCO_2,,,2,,,,,2.50,,,,
P89,IOin<4>,IBUF,IO_L13P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P90,IOin<3>,IBUF,IO_L13N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P91,IOin<2>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,IOin<1>,IBUF,IO_L14P_2/A23,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P94,IOin<0>,IBUF,IO_L14N_2/A22,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P95,,,GND,,,,,,,,,,,,
P96,,DIFFM,IO_L15P_2/A21,UNUSED,,2,,,,,,,,,
P97,nBLE,IOB,IO_L15N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P98,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
P99,nRD,IOB,IO_L16P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P100,nWR,IOB,IO_L16N_2/VS1/A18,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P101,,IBUF,IP,UNUSED,,2,,,,,,,,,
P102,nMREQ,IOB,IO_L17P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P103,ABUSout<7>,IOB,IO_L17N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P104,,,DONE,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,,DIFFM,IO_L01P_1/A16,UNUSED,,1,,,,,,,,,
P107,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
P108,DBUSout<13>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P109,DBUSout<14>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P110,,IBUF,IP,UNUSED,,1,,,,,,,,,
P111,,,VCCAUX,,,,,,,,2.5,,,,
P112,DBUSout<15>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P113,ABUS<9>,IOB,IO_L03N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P114,,,VCCO_1,,,1,,,,,2.50,,,,
P115,ABUS<10>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P116,ABUS<11>,IOB,IO_L04N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P117,,,VCCINT,,,,,,,,1.2,,,,
P118,,IBUF,IP,UNUSED,,1,,,,,,,,,
P119,ABUS<12>,IOB,IO_L05P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P120,DBUS<8>,IBUF,IO_L05N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P121,,,GND,,,,,,,,,,,,
P122,DBUS<9>,IBUF,IO_L06P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P123,DBUS<10>,IBUF,IO_L06N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P124,,IBUF,IP,UNUSED,,1,,,,,,,,,
P125,,,VCCO_1,,,1,,,,,2.50,,,,
P126,ABUSout<0>,IOB,IO_L07P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P127,ABUSout<1>,IOB,IO_L07N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P128,DBUS<11>,IBUF,IO_L08P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P129,ABUSout<2>,IOB,IO_L08N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P130,,IBUF,IP,UNUSED,,1,,,,,,,,,
P131,,,GND,,,,,,,,,,,,
P132,DBUS<12>,IBUF,IO_L09P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P133,DBUS<13>,IBUF,IO_L09N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P134,DBUS<14>,IBUF,IO_L10P_1/A4/RHCLK6,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P135,DBUS<15>,IBUF,IO_L10N_1/A3/RHCLK7,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P136,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P137,,DIFFM,IO_L11P_1/A2,UNUSED,,1,,,,,,,,,
P138,,DIFFS,IO_L11N_1/A1,UNUSED,,1,,,,,,,,,
P139,,DIFFM,IO_L12P_1,UNUSED,,1,,,,,,,,,
P140,ABUS<13>,IOB,IO_L12N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P141,,,GND,,,,,,,,,,,,
P142,,IBUF,IP,UNUSED,,1,,,,,,,,,
P143,,,VCCO_1,,,1,,,,,2.50,,,,
P144,ABUS<14>,IOB,IO_L13P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P145,ABUS<15>,IOB,IO_L13N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P146,ABUS<8>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P147,ABUS<7>,IOB,IO_L14N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P148,,IBUF,IP,UNUSED,,1,,,,,,,,,
P149,,,VCCAUX,,,,,,,,2.5,,,,
P150,ABUS<6>,IOB,IO_L15P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P151,ABUS<5>,IOB,IO_L15N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P152,,DIFFM,IO_L16P_1/LDC1,UNUSED,,1,,,,,,,,,
P153,DBUS<7>,IOB,IO_L16N_1/LDC2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P154,,IBUF,IP,UNUSED,,1,,,,,,,,,
P155,,,TMS,,,,,,,,,,,,
P156,,,GND,,,,,,,,,,,,
P157,,,TDO,,,,,,,,,,,,
P158,,,TCK,,,,,,,,,,,,
P159,,IBUF,IP,UNUSED,,0,,,,,,,,,
P160,DBUS<6>,IOB,IO_L01P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P161,DBUS<5>,IOB,IO_L01N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P162,DBUS<4>,IOB,IO_L02P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P163,DBUS<3>,IOB,IO_L02N_0/VREF_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P164,DBUS<2>,IOB,IO_L03P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P165,DBUS<1>,IOB,IO_L03N_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P166,,,VCCAUX,,,,,,,,2.5,,,,
P167,DBUS<0>,IOB,IO_L04P_0,BIDIR,LVCMOS25*,0,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P168,IOAD<1>,IOB,IO_L04N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P169,,IBUF,IP,UNUSED,,0,,,,,,,,,
P170,,,VCCINT,,,,,,,,1.2,,,,
P171,ABUS<4>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P172,ABUS<3>,IOB,IO_L05N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P173,,,GND,,,,,,,,,,,,
P174,,DIFFMI,IP_L06P_0,UNUSED,,0,,,,,,,,,
P175,,DIFFSI,IP_L06N_0,UNUSED,,0,,,,,,,,,
P176,,,VCCO_0,,,0,,,,,2.50,,,,
P177,ABUS<2>,IOB,IO_L07P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P178,ABUS<1>,IOB,IO_L07N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P179,ABUS<0>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P180,nPRD,IOB,IO_L08P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P181,IOAD<2>,IOB,IO_L08N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P182,,,GND,,,,,,,,,,,,
P183,,DIFFMI,IP_L09P_0/GCLK8,UNUSED,,0,,,,,,,,,
P184,,DIFFSI,IP_L09N_0/GCLK9,UNUSED,,0,,,,,,,,,
P185,bst<3>,IOB,IO_L10P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P186,nPREQ,IOB,IO_L10N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P187,nPWR,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P188,,,GND,,,,,,,,,,,,
P189,IOAD<0>,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P190,IOout<3>,IOB,IO_L11N_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P191,,,VCCO_0,,,0,,,,,2.50,,,,
P192,IOout<2>,IOB,IO_L12P_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P193,IOout<1>,IOB,IO_L12N_0/VREF_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P194,,IBUF,IP,UNUSED,,0,,,,,,,,,
P195,,,VCCAUX,,,,,,,,2.5,,,,
P196,IOout<0>,IOB,IO_L13P_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P197,IOout<7>,IOB,IO_L13N_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P198,,,GND,,,,,,,,,,,,
P199,IOout<6>,IOB,IO_L14P_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P200,IOout<5>,IOB,IO_L14N_0/VREF_0,TRISTATE,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P201,,,VCCO_0,,,0,,,,,2.50,,,,
P202,ABUSout<3>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P203,ABUSout<4>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P204,,IBUF,IP,UNUSED,,0,,,,,,,,,
P205,ABUSout<5>,IOB,IO_L16P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P206,ABUSout<6>,IOB,IO_L16N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P207,,,TDI,,,,,,,,,,,,
P208,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
